phrasal verb;definition;Level;Lesson Number;Lesson Name
take on;accept some work or responsibility;B2;;
take on;start to employ someone;B2;;
take over;begin to do something that someone else was doing;B2;;
take over;take control of something;B2;;
take to;begin to like someone or something;B2;;
take to;start doing something as a habit;B2;;
talk down to;talk to someone as if you think they are not as clever or important as you are;B2;;
talk round;succeed in persuading someone to agree to something;B2;;
think through;consider the facts about something in an organised and thorough way;B2;;
think up;invent or imagine something especially an excuse;B2;;
throw out;force someone to leave a place or group;B2;;
throw out;if someone in authority throws out a plan proposal etc they refuse to accept it;B2;;
throw up;cause something such as dust or water to rise into the air;B2;;
throw up;produce something new or unexpected;B2;;
tide over;help someone to get to the end of a difficult period of time especially by giving them money until they can get some more;B2;;
tip up;(of an object) have one end move upwards especially because something heavy has been put at the other end;B2;;
touch up;make a surface look better with small improvements;B2;;
walk out;leave a meeting performance etc before the end usually because you are angry or bored;B2;;
walk out;suddenly leave a relationship your family your job etc;B2;;
ward off;do something to prevent someone or something from harming you;B2;;
waste away;gradually become thinner and weaker over a period of time usually because of an illness;B2;;
wear down;make someone gradually lose their energy or confidence;B2;;
wear down;make something gradually disappear or become thinner by using or rubbing it;B2;;
weigh down;cause problems for someone or something or make someone worried;B2;;
weigh down;make someone heavy and unable to move easily;B2;;
while away;spend time in a relaxed way when you have nothing else to do;B2;;
wind down;end or finish something gradually;B2;;
wind down;gradually reduce work before stopping completely;B2;;
write off;damage a vehicle so badly that it is not worth repairing;B2;;
